"ruleId","ruleType","fieldId","description","noticeSubtype","condition","expression","target","severity","cvsStage"
"BR-BT-00001-0175","forbidden","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is forbidden at Notice level for a notice of type Contract notice – general directive, standard regime.","16","BT-01(e)-Procedure does not exist","NULL","all","ERROR","4"
"BR-BT-00001-0176","forbidden","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is forbidden at Notice level for a notice of type Contract notice – sectoral directive, standard regime.","17","BT-01(e)-Procedure does not exist","NULL","all","ERROR","4"
"BR-BT-00001-0177","forbidden","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is forbidden at Notice level for a notice of type Contract notice – defence directive, standard regime .","18","BT-01(e)-Procedure does not exist","NULL","all","ERROR","4"
"BR-BT-00001-0178","forbidden","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is forbidden at Notice level for a notice of type Concession notice – concessions directive, standard regime.","19","BT-01(e)-Procedure does not exist","NULL","all","ERROR","4"
"BR-BT-00001-0179","forbidden","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is forbidden at Notice level for a notice of type .","E3","BT-01(e)-Procedure does not exist","NULL","all","ERROR","4"
"BR-BT-00001-0180","forbidden","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is forbidden at Notice level for a notice of type Contract notice – general directive, light regime.","20","BT-01(e)-Procedure does not exist","NULL","all","ERROR","4"
"BR-BT-00001-0181","forbidden","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is forbidden at Notice level for a notice of type Contract notice – sectoral directive, light regime.","21","BT-01(e)-Procedure does not exist","NULL","all","ERROR","4"
"BR-BT-00001-0182","forbidden","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is forbidden at Notice level for a notice of type Subcontract notice – defence directive.","22","BT-01(e)-Procedure does not exist","NULL","all","ERROR","4"
"BR-BT-00001-0183","forbidden","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is forbidden at Notice level for a notice of type Design contest notice – general directive, design.","23","BT-01(e)-Procedure does not exist","NULL","all","ERROR","4"
"BR-BT-00001-0184","forbidden","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is forbidden at Notice level for a notice of type Design contest notice – sectoral directive, design.","24","BT-01(e)-Procedure does not exist","NULL","all","ERROR","4"
"BR-BT-00001-0185","forbidden","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is forbidden at Notice level for a notice of type Voluntary ex-ante transparency notice – general directive.","25","BT-01(e)-Procedure does not exist","NULL","all","ERROR","4"
"BR-BT-00001-0186","forbidden","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is forbidden at Notice level for a notice of type Voluntary ex-ante transparency notice – sectoral directive.","26","BT-01(e)-Procedure does not exist","NULL","all","ERROR","4"
"BR-BT-00001-0187","forbidden","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is forbidden at Notice level for a notice of type Voluntary ex-ante transparency notice – defence directive.","27","BT-01(e)-Procedure does not exist","NULL","all","ERROR","4"
"BR-BT-00001-0188","forbidden","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is forbidden at Notice level for a notice of type Voluntary ex-ante transparency notice – concession directive.","28","BT-01(e)-Procedure does not exist","NULL","all","ERROR","4"
"BR-BT-00001-0189","forbidden","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is forbidden at Notice level for a notice of type Contract award notice – general directive, standard regime.","29","BT-01(e)-Procedure does not exist","NULL","all","ERROR","4"
"BR-BT-00001-0190","forbidden","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is forbidden at Notice level for a notice of type Contract award notice – sectoral directive, standard regime.","30","BT-01(e)-Procedure does not exist","NULL","all","ERROR","4"
"BR-BT-00001-0191","forbidden","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is forbidden at Notice level for a notice of type Contract award notice – defence directive, standard regime.","31","BT-01(e)-Procedure does not exist","NULL","all","ERROR","4"
"BR-BT-00001-0192","forbidden","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is forbidden at Notice level for a notice of type Concession award notice – concession directive, standard regime.","32","BT-01(e)-Procedure does not exist","NULL","all","ERROR","4"
