KEY,FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2024-03-22,1.6601,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Australian dollar/Euro,"ECB reference exchange rate, Australian dollar/Euro, 2:15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2024-03-25,1.658,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Australian dollar/Euro,"ECB reference exchange rate, Australian dollar/Euro, 2:15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2024-03-26,1.6574,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Australian dollar/Euro,"ECB reference exchange rate, Australian dollar/Euro, 2:15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2024-03-27,1.66,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Australian dollar/Euro,"ECB reference exchange rate, Australian dollar/Euro, 2:15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2024-03-28,1.6607,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Australian dollar/Euro,"ECB reference exchange rate, Australian dollar/Euro, 2:15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2024-04-02,1.6522,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Australian dollar/Euro,"ECB reference exchange rate, Australian dollar/Euro, 2:15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2024-04-03,1.6539,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Australian dollar/Euro,"ECB reference exchange rate, Australian dollar/Euro, 2:15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2024-04-04,1.6446,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Australian dollar/Euro,"ECB reference exchange rate, Australian dollar/Euro, 2:15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2024-04-05,1.6461,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Australian dollar/Euro,"ECB reference exchange rate, Australian dollar/Euro, 2:15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2024-04-08,1.6433,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Australian dollar/Euro,"ECB reference exchange rate, Australian dollar/Euro, 2:15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2024-04-09,1.6407,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Australian dollar/Euro,"ECB reference exchange rate, Australian dollar/Euro, 2:15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2024-04-10,1.6399,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Australian dollar/Euro,"ECB reference exchange rate, Australian dollar/Euro, 2:15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2024-04-11,1.6448,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Australian dollar/Euro,"ECB reference exchange rate, Australian dollar/Euro, 2:15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2024-04-12,1.6413,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Australian dollar/Euro,"ECB reference exchange rate, Australian dollar/Euro, 2:15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2024-04-15,1.6441,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Australian dollar/Euro,"ECB reference exchange rate, Australian dollar/Euro, 2:15 pm (C.E.T.)",AUD,0
